wallet,buy_count,sell_count,event_count,quote_spent,quote_received,quote_net,tokens,last_block_time
JDd3hy3gQn2V982mi1zqhNqUw1GfV2UL6g76STojCJPN,0,552,552,0.0,0.0,0.0,2Mcwccy7,2026-06-11T07:42:25+00:00
ardinRsN1mNYVeoJWTBsWeYeXvuR9UUDGMsCDKpb6AT,14,8,22,14.907542482,16.935003844,2.027461362,2WHXZGJH|3rS3tPKo|4Cq1LNzj|5Dzcc6XK|AJqMERJ5|BnzpBf2Y|MiLL4FP4,2026-06-11T07:39:52+00:00
9iaawVBEsFG35PSwd4PahwT8fYNQe9XYuRdWm872dUqY,2,3,5,4.00815816,1.449089724,-2.559068436,AmcNNEhS|D2FHRKqn|gtMbWdto,2026-06-11T07:38:45+00:00
Aq3HRZj1QMUnqWT3VxExYVXUQZ4NhdAhArNkfgZjWtnt,1,0,1,1.534592198,0.0,-1.534592198,3e1v4D5n,2026-06-11T07:28:41+00:00
CECN4BW4DKnbyddkd9FhWVR5dotzKhQr5p7DUPhQ55Du,10,7,17,99.176437827,50.775241208,-48.401196619,8q9HVzUv|BjWLDjb5|BuzVgHAM|C1iHXVnK|DrESFkkB,2026-06-11T07:28:30+00:00
2ibRsinT7KtVkjHvuzExG64pwZ3vx875VoNmz3ouWcN5,9,0,9,0.771398318,0.0,-0.771398318,2AG4HMFd|8q9HVzUv,2026-06-11T07:17:20+00:00
3KsusBEDBpcPsmpgAdsseMsWGM1gfaCjky6TkVVwkhR9,8,2,10,0.080600008,1.402015448,1.32141544,2xixoVMN,2026-06-11T07:12:32+00:00
8FUfYWYWxLNEWgHwT2RbWSTThstaHXXtLDvMuvNRjxMV,6,0,6,30.33803,0.0,-30.33803,5vAExw5R|HJ4LhZwi,2026-06-11T06:43:13+00:00
Csx99jzSDjz88Ed3YHkZMB8vCKgEiChU1oaGPAGJMsVP,4,4,8,8.098242237,6.961870683,-1.136371554,7UfGYZjW|8C6SWeuA|FKy6cmJJ|Gqm5rqXQ,2026-06-11T06:24:26+00:00
DwMpiXxw6qB5GMSKekqVXDaNRK93ZbtmUkxASVu8MnG9,6,1,7,2.681078175,0.23769339,-2.443384785,7peVwfkv|DPf5rAwY,2026-06-11T06:14:24+00:00
54qjvmfmUkcfsQm6aJURegHPcvB2QjY8z2w6ZkFx2cjc,1,9,10,450.0,2303.663929,1853.663929,9voQQTTd|Tqj8yFma,2026-06-11T05:18:00+00:00
5ZuV8eqkvzYFVEKbLvGBdexL2tFv7E5BCd2HZpjqbdg,2,2,4,3.460939314,6.633709378,3.172770064,Bybdehcb|E58uk3Gv,2026-06-11T05:14:05+00:00
6vAh7uyu5bUxPBtXwVwBoyVh3LJ79WKY2CvJbrvH2PPr,1,2,3,2.03207908,4.499703567,2.467624487,E9uvZSfT|JCKwsT8U,2026-06-11T05:04:48+00:00
Gb96Sx8GY8kjSaza7ZGZwLqxMDiVeTJs2ycimPLEzbE1,1,0,1,2.002005,0.0,-2.002005,EonL2M7v,2026-06-11T04:41:39+00:00
338PNcRSzaJksX1ZbfhcSid24LyijfRKTDx4QzQNmgY6,4,1,5,4.526744422,2.010894405,-2.515850017,5w3f9Ltn|8C6SWeuA|BHyJ3Fuj,2026-06-11T04:37:21+00:00
CxgPWvH2GoEDENELne2XKAR2z2Fr4shG2uaeyqZceGve,3,1,4,2.021005,14.931923832,12.910918832,Cm6fNnMk|GNq4CeUy|Tqj8yFma,2026-06-11T04:25:37+00:00
J9TYAsWWidbrcZybmLSfrLzryANf4CgJBLdvwdGuC8MB,0,6,6,0.0,1.591552405,1.591552405,CSLHw4Xt,2026-06-11T04:13:57+00:00
CqpAZCxFcppL6uvCMvkU97FW3gpdjtKFSTtzDYnrk3jf,0,3,3,0.0,1440.59520193,1440.59520193,CASHx9KJ|Tqj8yFma,2026-06-11T03:39:02+00:00
4vw54BmAogeRV3vPKWyFet5yf8DTLcREzdSzx4rw9Ud9,3,1,4,0.300315003,2.864798157,2.564483154,GSiQZVqA,2026-06-11T03:38:05+00:00
H7LwBC7YYgxTrJG8tm49XNFfNbcvmjGcqRAcWL7HWCPu,0,1,1,0.0,4.361653911,4.361653911,E3VGNe4i,2026-06-11T03:23:35+00:00
8JWx2gV9WnhdrZGTsi3hwfaAiiS2K51HtAQ3jFZPC3D4,2,6,8,495.0,1572.037631,1077.037631,4EjSzThN|JCKwsT8U,2026-06-11T03:11:39+00:00
o5ToUv98emv62jrUQNyan43FpAr31f6A2K4B8eRquuV,3,2,5,9.180035157,24.042785659,14.862750502,6TPQEMKv|9ZtbETDN,2026-06-11T03:03:58+00:00
pVn3ZQJera6uC8BrSLquWU1SZAnDaUU1y3z5SAKvQ8F,0,1,1,0.0,28.751939743,28.751939743,Tqj8yFma,2026-06-11T02:58:46+00:00
C9J5tKirDaWoc3zFxn1N7N14TEwTRYk8FDZw3saSeQeg,5,2,7,0.614887459,0.635861363,0.020973904,3tVz9uAz|CujZ5W6G,2026-06-11T02:47:36+00:00
8TQvBqsBWW8vRR7eWyYSnPJevKYX97jE97ztVUgEzRip,3,3,6,0.86888908,0.826877923,-0.042011157,2bPXyG18|5FBNhThN,2026-06-11T02:44:28+00:00
AcoNeFQsTPYs7ZrH8RMWaxxGJTTQJJ4H5aTXmptaz5UK,2,3,5,20.50815816,12.696267435,-7.811890725,67A3Bfwv|8E9wb51F|BcHEaaTC,2026-06-11T02:09:45+00:00
6S8GezkxYUfZy9JPtYnanbcZTMB87Wjt1qx3c6ELajKC,1,0,1,0.0,0.0,0.0,9gS5h3zu,2026-06-11T02:03:13+00:00
AmHZr5CPJ88F5rMneFNSdbEqerDAozPkfLFErTuNLFjC,0,8,8,0.0,27.960216138,27.960216138,w9Fh8VWm,2026-06-11T02:02:47+00:00
78N177fzNJpp8pG49xDv1efYcTMSzo9tPTKEA9mAVkh2,1,0,1,0.0,0.0,0.0,9gS5h3zu,2026-06-11T02:02:11+00:00
2e1w3Xo441Ytvwn54wCn8itAXwCKbiizc9ynGEv14Vis,3,3,6,2.191453756,2.918479687,0.727025931,9gS5h3zu|AAwc5Fe8,2026-06-11T02:00:00+00:00
6GBG8SDMCESvhNzmVyHyQz8ZtonHqXKXWb6FMYZC3HWm,1,2,3,1.516495353,1.925566322,0.409070969,Dj1fuGu3|Ep59BKyF,2026-06-11T00:19:29+00:00
C21R6y1fqFUNCEzNJgjVcEnjTE2y6Cq7GWLfZzkbBm7a,0,6,6,0.0,43.366142121,43.366142121,CujZ5W6G,2026-06-11T00:13:27+00:00
C1LB4h3bEZ2cyn8fggEA6SLfawGkJiBmf2sGYYQaofCG,2,1,3,20.254101817,20.409587862,0.155486045,BcHEaaTC,2026-06-11T00:07:30+00:00
CaJehnruPwGsRtydonyucmhSzrAS9uMFz72x7RLf153J,4,1,5,8.02402,30.922688968,22.898668968,8fiegpuK|BcHEaaTC,2026-06-10T23:32:15+00:00
GzFxv4rP99HvMay6jFBmEQhKB29L5CGxpRHZbRGLCAk7,1,2,3,16.998179443,73.97535208,56.977172637,Tqj8yFma,2026-06-10T23:31:16+00:00
GSSuPn6mPexFbJhBJbUstKYdz4Go3AQBnHA6C5WoJ4Dm,1,5,6,2.020155,5.768515193,3.748360193,4HgFqo7L|CLrnsoHD|HtpJs3NR|HxPcU4D1,2026-06-10T22:36:13+00:00
7HiCCSKTzPrQx2bvkjC97bp3iUppeexCQe6PAKDSxjQs,6,2,8,2.33112928,2.980698133,0.649568853,6FqcYXur|ECqPq3aW|EGhdtB7B,2026-06-10T22:33:23+00:00
9bRPstxnkwVaGUgXHkGd9QzniecqbjAhWKxk3oQyqVS7,0,1,1,0.0,25.972764962,25.972764962,BoaQpzy2,2026-06-10T22:31:37+00:00
7KzetDAtK1SwpeM3B8BmLrHhuJhzd9vLwpuR4vop9bzN,0,9,9,0.0,66.67580758,66.67580758,G4Bqa83b,2026-06-10T22:12:04+00:00
29vdV3sBguK5P8CcL6hREVqZH7MDdWBETLC8hk3uFUrz,0,6,6,0.0,52.539448558,52.539448558,G4Bqa83b,2026-06-10T22:04:20+00:00
5xqxvBV76FEkteUeTFskAEGLeTdvQPx1nUkt5MMeN7Bh,0,6,6,0.0,17.606438563,17.606438563,G4Bqa83b,2026-06-10T22:04:20+00:00
2YBNcNrvvw95uYU8bysRrQJDTmpiQXcadY7S8kdehiLj,6,1,7,3.609636357,0.297616478,-3.312019879,6qdzMx4c|95Za8K86|FeMrhDed|GT7xhs9G,2026-06-10T21:56:43+00:00
GyxTnYNdVSukWhqAmXNpLeVzUyZjoAs9tN3vcUYLxFpD,6,1,7,2.17617816,0.217428623,-1.958749537,BKzL2mpH|DyFJKGcE|HP6rQQXs,2026-06-10T21:06:59+00:00
GsCmgTgtSSrkz41cVow2mCSDUucv53GhFntPexeWJCj1,0,8,8,0.0,19.200038063,19.200038063,4EjSzThN,2026-06-10T21:05:03+00:00
25QgCWawBtVLNK8XmP6KSFz33b9KMsRsYkrghGE8KGGF,5,0,5,20.279011489,0.0,-20.279011489,E3VGNe4i|VtwGKv7d,2026-06-10T21:02:22+00:00
GengvgZJ9gwFBmuXsmTFroX66xdXJH7T5nrU9yboVeXi,1,4,5,0.0,16.605516525,16.605516525,8CspjMqm|BhBDrPtF|BqsjiHzT,2026-06-10T20:36:58+00:00
7eypWBhjbxTuj4p6rpXi7nVp5zVB947YcpkFL69dyHPD,1,1,2,0.151722815,22.718216963,22.566494148,ANP1wJHY|Gmkb13vh,2026-06-10T19:14:48+00:00
2CHPVW4vDWRedSCfeVqVMDtA5G7HNP4QVGRiFyT4C82Y,1,1,2,4.174612979,10.916175205,6.741562226,cTxqg4vt,2026-06-10T19:11:49+00:00
betAswfLyVc4KPqgVrJbZQ8XisoxEmLCpsKgvVkq7Ez,0,1,1,0.0,1.908421728,1.908421728,aqQRs3UJ,2026-06-10T19:08:09+00:00
Ay9MXZp3x2pRakyzYwK92PFGo4V7xSyE5zSggVMVuqdf,4,1,5,595.9,397.022138,-198.877862,2jeNHHVm|4XB9qgrj|Cg2KJtCD|DKSeC2hT|FVo5hJRs,2026-06-10T18:58:42+00:00
6dttEjZXrbjKfbvzGMdTecnTS8k21fQ3ho7q6KkePT9H,1,5,6,0.510329796,4.269385366,3.75905557,BAngYQao|BcHEaaTC|ENFKfQc1,2026-06-10T18:41:44+00:00
J9v5NSQCwnwSHeCDB8Knxab8gtey8o4idfi7dqnhNee1,1,2,3,0.00212428,247.720832,247.71870772,3VW31dwi|VtwGKv7d,2026-06-10T18:37:18+00:00
3LUfv2u5yzsDtUzPdsSJ7ygPBuqwfycMkjpNreRR2Yww,1,2,3,0.874434462,66.125201782,65.25076732,36XQLyS1,2026-06-10T17:53:03+00:00
Gv7hZ3Am5jMQcxMW1VZmskv2w96o6a1SBcMFVuRM8nAZ,0,8,8,0.0,47.918107835,47.918107835,BcHEaaTC,2026-06-10T17:49:36+00:00
eSGWeMXohTTRLHEBraw8zfwwV2FpJbyRubv8TCvebgg,6,2,8,6.86603,1.977935836,-4.888094164,Hg45Qr91,2026-06-10T17:36:17+00:00
2yAC6xp35z2rHrpECuzRAWM5BLnzvu816gYt8kE9DSk8,1,8,9,80.0,21.940415108,-58.059584892,HzwqbKZw|w9Fh8VWm,2026-06-10T16:29:24+00:00
Eo4R8pBvnCbdvxQdFXMrdQrdy71vkv5mTh8HTD3VrEh1,3,2,5,29877.207486,29877.207486,0.0,6YAxzfXq|CARDSccU|CNjaCXsQ,2026-06-10T16:05:58+00:00
7PpDHwPsFKozjZc3y7HDEUGLfks8Ax2QbJnUJLE1ChNS,2,4,6,1.50023,1.689916645,0.189686645,2sDCRhLK,2026-06-10T15:00:27+00:00
4hzBc5NEH8wcyEV7z5ppJ1ZzmVEYoyrvJrtBhYgrUhvk,0,1,1,0.0,1.355194356,1.355194356,BAngYQao,2026-06-10T14:43:06+00:00
G28vYxHMKXaYUw4jJUeUBz9UDN3DNc5pvT9Xa3r9qb14,1,5,6,8.000115,0.81102885,-7.18908615,FeMrhDed,2026-06-10T14:42:43+00:00
4XbAvbSL51KjdzkPLeNSZvWs9XskPvMT8WMkff5ZAYHe,0,3,3,0.0,24.830125343,24.830125343,Hg45Qr91,2026-06-10T14:29:16+00:00
6Hj3SdHW4Bsx5TqZDBL1WA6zng1R67zG9YWxBBDj342L,2,2,4,0.06855816,0.052760298,-0.015797862,E7acNrbp,2026-06-10T12:46:42+00:00
CQ8eW9NcvTza8qDvwML11dzf2MkUbMFxfQ9iKuVmjH9i,1,4,5,2.264731431,11.611421204,9.346689773,A6nmEt8w,2026-06-10T09:36:28+00:00
CWzdzyKUED6sWp1Sc2wTYtLdebZecvdJMkockGvRx73i,0,5,5,0.0,3.473595505,3.473595505,q2yC2PPh,2026-06-10T03:55:16+00:00
J23qr98GjGJJqKq9CBEnyRhHbmkaVxtTJNNxKu597wsA,0,3,3,0.0,27.173792001,27.173792001,CujZ5W6G,2026-06-10T00:30:26+00:00
DnL2LqLhXxpbmy3GNDN5FEsDej73bN2WySc5YPEBskip,2,1,3,1.511361218,8.27258635,6.761225132,BtgJr7qy|Fqvo9cQQ|HmVhasB9,2026-06-09T21:22:10+00:00
C8hen6TuB6BGxNfhvpJrqgZMCUJnGZEhKaeavCUzJViM,0,3,3,0.0,3.004350907,3.004350907,74qAbx9c,2026-06-09T20:17:58+00:00
9tjkLoyQoVXXRFYtu6aser8BmsYsNJSZ6LAPzsPZZ8QX,0,7,7,0.0,5.789714728,5.789714728,74qAbx9c,2026-06-09T20:10:59+00:00
AzY2jVhnQJPvJxFHpmSCP4VzGvByvaDtd4HyXabidi2n,5,1,6,11.705980557,964.976762,953.270781443,8Ji49xXX,2026-06-09T19:11:23+00:00
3mWG7DbH9BrQjX1j15xhK74n4HhUNwmxNZQv4AEXkn8e,1,3,4,2.02407908,4.032891216,2.008812136,8cmgpSJM|8fCraYTH|w2AiLJib,2026-06-09T17:17:35+00:00
412hPQC2VCX7oZofrV99XrF3VugRP3s4HGb8hoqXuY7k,2,0,2,4.502604882,0.0,-4.502604882,DfhFeusa|DpeUYciZ,2026-06-09T07:53:23+00:00
CVj4j7mXrwJpUC3R33KmA48LwFoVekLfd6y5tru6P5c1,0,1,1,0.0,105.838494,105.838494,ZFr9kijv,2026-06-08T18:18:59+00:00
7HbTte3VF7ThD44rXdZK16iv3snMCxUCkbAD7PVDGv9c,0,5,5,0.0,45.184324747,45.184324747,33eum82L,2026-06-08T16:42:20+00:00
EYXDyx8yihoRNW8L9GmWZ3Gds1PfmRtkNCnvGvdoE3xa,0,2,2,0.0,8.319545547,8.319545547,2gXeM4ei|3xqwPRTb,2026-06-08T16:28:57+00:00
BKxJ7621XUBU27iZKXGBDEmjYJRqYuqqx3RCy6czFrpv,2,2,4,1.521703649,10.990743332,9.469039683,2WoyrRke,2026-06-08T12:02:17+00:00
